,xAxisValues (Unix timestamp),Cross border electricity trading (MW),Nuclear (MW),Hydro Run-of-River (MW),Hydro water reservoir (MW),Hydro pumped storage (MW),Wind onshore (MW),Solar (MW),Load (MW),Residual load (MW),Renewable share of generation (%),Renewable share of load (%),Day Ahead Auction (EUR/MWh)
0,2020-12-31 23:00:00,2902.9,2972.8,1161.3,470.6,118.3,15.9,0.0,7360.6,7344.7,34.8,22.4,50.98
1,2021-01-01 00:00:00,2894.7,2974.1,928.7,430.6,151.8,16.5,0.0,7460.3,7443.8,30.6,18.4,45.94
2,2021-01-01 01:00:00,3132.4,2973.7,921.9,381.9,100.5,12.2,0.0,7512.7,7500.5,30.0,17.5,44.53
3,2021-01-01 02:00:00,3082.9,2972.9,929.5,335.3,62.5,10.5,0.0,7654.7,7644.2,29.6,16.7,41.01
4,2021-01-01 03:00:00,3098.4,2973.0,905.1,287.7,46.8,4.8,0.0,7543.2,7538.4,28.4,15.9,39.23
5,2021-01-01 04:00:00,3018.2,2971.2,964.1,308.4,55.9,4.2,0.0,7437.1,7432.9,29.7,17.2,38.43
6,2021-01-01 05:00:00,2999.5,2968.5,1062.0,398.0,62.9,4.3,0.0,7428.3,7424.0,32.6,19.7,39.57
7,2021-01-01 06:00:00,2875.0,2968.5,1150.1,461.6,77.5,6.3,0.0,7436.8,7430.6,34.7,21.8,40.78
8,2021-01-01 07:00:00,3058.2,2969.0,1122.9,467.2,32.0,6.9,0.0,7292.8,7285.9,34.7,21.9,42.72
9,2021-01-01 08:00:00,3164.5,2970.5,1174.4,388.6,57.6,5.7,0.0,7459.4,7453.7,34.1,21.0,44.32
10,2021-01-01 09:00:00,2987.8,2968.0,1105.2,423.0,58.8,3.9,0.4,7579.1,7574.8,33.6,20.2,46.14
11,2021-01-01 10:00:00,2694.0,2967.5,1082.6,445.6,38.9,2.8,6.0,7768.6,7759.8,33.8,19.8,46.35
12,2021-01-01 11:00:00,2548.0,2968.0,1112.6,621.6,55.1,2.6,17.2,7604.7,7584.9,36.7,23.1,48.9
13,2021-01-01 12:00:00,3112.4,2967.7,1121.3,422.7,58.1,2.6,22.3,7637.6,7612.7,34.1,20.5,48.52
14,2021-01-01 13:00:00,3096.3,2968.3,1111.0,420.4,62.6,3.3,12.3,7962.4,7946.9,33.8,19.4,48.05
15,2021-01-01 14:00:00,2703.4,2967.8,1106.4,496.0,85.5,3.0,1.9,7900.1,7895.2,34.5,20.3,49.02
16,2021-01-01 15:00:00,1160.6,2968.8,1165.2,1025.8,167.8,3.4,0.0,7546.8,7543.4,41.2,29.1,53.73
17,2021-01-01 16:00:00,-393.1,2967.2,1366.2,3637.4,539.3,3.4,0.0,7132.9,7129.6,58.8,70.2,57.72
18,2021-01-01 17:00:00,-382.9,2967.6,1365.4,4146.9,563.3,3.3,0.0,7375.9,7372.6,61.0,74.8,58.3
19,2021-01-01 18:00:00,-64.8,2969.1,1317.9,3805.1,494.2,2.1,0.0,7496.9,7494.7,59.7,68.4,58.12
20,2021-01-01 19:00:00,1186.3,2969.5,1178.4,2565.6,364.2,1.5,0.0,7320.1,7318.6,52.9,51.2,56.46
21,2021-01-01 20:00:00,2238.1,2969.7,1182.1,983.3,177.4,1.7000000000000002,0.0,7084.6,7082.9,40.8,30.6,53.89
22,2021-01-01 21:00:00,2251.0,2969.3,1132.5,886.8,129.5,1.2,0.0,7103.6,7102.5,39.5,28.4,52.02
23,2021-01-01 22:00:00,3014.1,2970.9,1136.0,556.6,101.6,1.0,0.0,7041.4,7040.4,35.5,24.1,48.72
24,2021-01-01 23:00:00,3165.1,2973.6,1095.2,337.1,51.1,1.2,0.0,7298.0,7296.9,32.2,19.6,53.24
25,2021-01-02 00:00:00,3178.6,2981.1,913.7,390.8,45.1,1.0,0.0,7645.6,7644.6,30.1,17.1,49.66
26,2021-01-02 01:00:00,3463.9,2977.3,904.1,350.6,24.5,0.7000000000000001,0.0,7777.6,7776.8,29.5,16.1,46.04
27,2021-01-02 02:00:00,3440.2,2971.5,902.3,379.4,24.8,0.8,0.0,7755.3,7754.5,30.0,16.5,43.49
28,2021-01-02 03:00:00,3306.5,2969.6,874.3,378.7,31.3,0.9,0.0,7709.6,7708.6,29.5,16.3,42.04
29,2021-01-02 04:00:00,3196.9,2967.0,906.9,371.7,31.0,0.9,0.0,7592.3,7591.5,29.9,16.9,42.85
30,2021-01-02 05:00:00,3076.2,2966.4,998.5,407.9,56.6,0.8,0.0,7587.6,7586.9,31.8,18.5,45.26
31,2021-01-02 06:00:00,2736.4,2966.6,1103.2,447.6,58.2,0.9,0.0,7571.0,7570.1,33.9,20.5,49.16
32,2021-01-02 07:00:00,2607.3,2967.0,1112.6,667.2,81.2,1.2,0.0,7632.9,7631.6,36.9,23.3,53.27
33,2021-01-02 08:00:00,2319.0,2968.4,1116.9,717.3,133.6,1.7000000000000002,0.0,7539.6,7537.9,37.2,24.4,58.83
34,2021-01-02 09:00:00,2501.7,2967.5,1168.5,703.1,141.9,1.4,5.2,7559.3,7552.6,37.7,24.8,59.45
35,2021-01-02 10:00:00,2326.6,2967.4,1234.5,753.2,131.7,1.8,17.8,7688.2,7668.6,39.3,26.1,59.75
36,2021-01-02 11:00:00,2148.5,2967.9,1196.7,1010.3,152.9,1.6,23.8,7552.8,7527.4,41.7,29.6,60.19
37,2021-01-02 12:00:00,2732.8,2967.5,1145.7,938.2,164.8,1.2,30.8,7499.3,7467.3,40.3,28.2,59.19
38,2021-01-02 13:00:00,2811.4,2968.5,1198.5,1014.7,137.1,1.6,17.5,7780.0,7760.9,41.8,28.7,57.76
