,xAxisValues (Unix timestamp),Cross border electricity trading (MW),Nuclear (MW),Hydro Run-of-River (MW),Hydro water reservoir (MW),Hydro pumped storage (MW),Wind onshore (MW),Solar (MW),Load (MW),Residual load (MW),Renewable share of generation (%),Renewable share of load (%),Day Ahead Auction (CH) (EUR/MWh)
0,2021-12-31 23:00:00,1960.6,2988.3,1782.8,264.9,14.0,31.1,0.0,7511.3,7480.2,40.9,27.7,119.97
1,2022-01-01 00:00:00,1957.0,2991.8,1832.4,284.8,37.3,18.3,0.0,7635.5,7617.2,41.3,28.0,101.54
2,2022-01-01 01:00:00,2333.6,2989.2,1999.9,256.6,36.4,16.2,0.0,7446.1,7429.8,42.9,30.5,52.13
3,2022-01-01 02:00:00,2354.4,2991.8,1903.9,204.8,39.9,14.6,0.0,7621.9,7607.4,41.2,27.9,20.78
4,2022-01-01 03:00:00,2141.7,2992.4,1750.2,206.5,18.0,10.9,0.0,7698.8,7687.8,39.5,25.6,15.66
5,2022-01-01 04:00:00,2151.9,2990.9,1843.7,199.6,20.3,7.5,0.0,7311.5,7304.0,40.5,28.0,21.47
6,2022-01-01 05:00:00,1785.5,2991.3,1911.9,204.3,92.9,5.9,0.0,7153.2,7147.3,40.8,29.7,29.89
7,2022-01-01 06:00:00,1436.7,2992.2,1917.5,230.4,102.7,6.7,0.0,6951.1,6944.5,41.0,31.0,95.33
8,2022-01-01 07:00:00,1660.0,2991.7,1900.5,247.0,32.1,6.7,0.0,6683.9,6677.2,41.6,32.2,95.36
9,2022-01-01 08:00:00,1679.0,2995.0,2080.4,245.7,32.2,8.0,27.1,7070.2,7035.1,43.8,33.4,95.43
10,2022-01-01 09:00:00,1770.1,2994.3,2034.7,274.4,29.2,9.7,152.2,7265.8,7103.9,45.0,34.0,68.42
11,2022-01-01 10:00:00,1491.9,2992.4,2045.4,254.9,26.4,9.5,274.1,7652.0,7368.4,46.1,33.8,60.88
12,2022-01-01 11:00:00,1403.4,2991.9,1864.5,246.1,40.8,5.9,379.9,7345.2,6959.4,45.1,34.0,70.72
13,2022-01-01 12:00:00,1133.0,2990.1,1809.3,231.4,51.9,5.2,549.0,7315.1,6760.9,46.0,35.5,74.99
14,2022-01-01 13:00:00,1131.0,2988.2,1808.4,255.2,109.0,3.0,462.2,7087.3,6622.1,44.9,35.7,87.46
15,2022-01-01 14:00:00,1212.9,2987.1,1823.2,291.9,115.2,2.2,241.0,6968.1,6724.9,43.2,33.8,100.16
16,2022-01-01 15:00:00,1108.5,2985.1,1945.7,319.5,120.4,1.4,27.5,7045.7,7016.8,42.5,32.6,120.09
