"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Ehsani B.; Pineau P.-O.; Charlin L.","Ehsani, Behdad (57666703000); Pineau, Pierre-Olivier (7003866222); Charlin, Laurent (26638699300)","57666703000; 7003866222; 26638699300","Price forecasting in the Ontario electricity market via TriConvGRU hybrid model: Univariate vs. multivariate frameworks","2024","Applied Energy","359","","122649","","","","0","10.1016/j.apenergy.2024.122649","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183545533&doi=10.1016%2fj.apenergy.2024.122649&partnerID=40&md5=04ca9c53160ce9a5b362657eec9bbde2","Article","Final","","Scopus","2-s2.0-85183545533"
"Singh P.; Kottath R.","Singh, Priyanka (57212591690); Kottath, Rahul (57053550900)","57212591690; 57053550900","A novel influencer mutation strategy for nature-inspired optimization algorithms to solve electricity price forecasting problem","2024","Advances in Computers","","","","","","","","10.1016/bs.adcom.2023.12.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185155336&doi=10.1016%2fbs.adcom.2023.12.002&partnerID=40&md5=908fb9db03151f03e9f3b8a018a2e024","Book chapter","Article in press","","Scopus","2-s2.0-85185155336"
"Foronda-Pascual D.; Alonso A.M.","Foronda-Pascual, Daniel (58753899000); Alonso, Andrés M. (56228341500)","58753899000; 56228341500","Prediction of Matching Prices in Electricity Markets through Curve Representation","2023","Energies","16","23","7812","","","","0","10.3390/en16237812","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179123541&doi=10.3390%2fen16237812&partnerID=40&md5=38ca344f9fda2dc9c378158b889f6a70","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85179123541"
"Tan Y.Q.; Shen Y.X.; Yu X.Y.; Lu X.","Tan, Yong Qiang (57796529800); Shen, Yan Xia (8377377600); Yu, Xin Yan (57796529900); Lu, Xin (57371567200)","57796529800; 8377377600; 57796529900; 57371567200","Day-ahead electricity price forecasting employing a novel hybrid frame of deep learning methods: A case study in NSW, Australia","2023","Electric Power Systems Research","220","","109300","","","","4","10.1016/j.epsr.2023.109300","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150440235&doi=10.1016%2fj.epsr.2023.109300&partnerID=40&md5=e03a0fcf77e854f85bc06ba97c2bda27","Article","Final","","Scopus","2-s2.0-85150440235"
"Adline B.; Ikeda K.","Adline, Bikeri (58123835700); Ikeda, Kazushi (7404890707)","58123835700; 7404890707","A Hawkes Model Approach to Modeling Price Spikes in the Japanese Electricity Market","2023","Energies","16","4","1570","","","","0","10.3390/en16041570","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149184701&doi=10.3390%2fen16041570&partnerID=40&md5=e2286113d1b1d1dabf9f113e8f433e71","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85149184701"
"Shang J.; Gao J.; Jiang X.; Liu M.; Liu D.","Shang, Jingyi (57211747016); Gao, Jinfeng (56159425100); Jiang, Xin (55585542300); Liu, Mingguang (24922066000); Liu, Dunnan (55898674700)","57211747016; 56159425100; 55585542300; 24922066000; 55898674700","Optimal configuration of hybrid energy systems considering power to hydrogen and electricity-price prediction: A two-stage multi-objective bi-level framework","2023","Energy","263","","126023","","","","11","10.1016/j.energy.2022.126023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142544226&doi=10.1016%2fj.energy.2022.126023&partnerID=40&md5=f38e40f0e2ab1df2fedc3fc0fe7c52eb","Article","Final","","Scopus","2-s2.0-85142544226"
"Hernández Rodríguez M.; Baca Ruiz L.G.; Criado Ramón D.; Pegalajar Jiménez M.D.C.","Hernández Rodríguez, Marcos (58405921800); Baca Ruiz, Luis Gonzaga (57194709282); Criado Ramón, David (57670989400); Pegalajar Jiménez, María del Carmen (57218224578)","58405921800; 57194709282; 57670989400; 57218224578","Artificial Intelligence-Based Prediction of Spanish Energy Pricing and Its Impact on Electric Consumption","2023","Machine Learning and Knowledge Extraction","5","2","","431","447","16","0","10.3390/make5020026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163642392&doi=10.3390%2fmake5020026&partnerID=40&md5=17cfd3976624e462db04f50e6aea2246","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85163642392"
"Krishna Prakash N.; Singh J.G.","Krishna Prakash, N. (58176186600); Singh, Jai Govind (37462123800)","58176186600; 37462123800","Electricity price forecasting using hybrid deep learned networks","2023","Journal of Forecasting","42","7","","1750","1771","21","1","10.1002/for.2981","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151959820&doi=10.1002%2ffor.2981&partnerID=40&md5=78d78ca1fddd9be04dfa24f2e7e99fa9","Article","Final","","Scopus","2-s2.0-85151959820"
"El-Azab H.-A.I.; Swief R.A.; El-Amary N.H.; Temraz H.K.","El-Azab, Heba-Allah I. (57202072547); Swief, R.A. (35325433500); El-Amary, Noha H. (26422957300); Temraz, H.K. (6602982804)","57202072547; 35325433500; 26422957300; 6602982804","Machine and deep learning approaches for forecasting electricity price and energy load assessment on real datasets","2024","Ain Shams Engineering Journal","","","102613","","","","","10.1016/j.asej.2023.102613","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184709385&doi=10.1016%2fj.asej.2023.102613&partnerID=40&md5=dc1619bde22b361ff20cf188ed76c613","Article","Article in press","All Open Access; Gold Open Access","Scopus","2-s2.0-85184709385"
"Redhu S.; Bremdal B.A.","Redhu, Surender (57194769452); Bremdal, Bernt A. (6507619451)","57194769452; 6507619451","Day-Ahead Zonal Electricity Price Forecasting using 1D-LSTM with Neighbouring Zones Data","2023","2023 IEEE Belgrade PowerTech, PowerTech 2023","","","","","","","0","10.1109/PowerTech55446.2023.10202771","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184994934&doi=10.1109%2fPowerTech55446.2023.10202771&partnerID=40&md5=b394f51a3d9d5e1e4df511e7fb32e138","Conference paper","Final","","Scopus","2-s2.0-85184994934"
