
"SUBJECT AREA","Count"
"Engineering","896"
"Energy","790"
"Computer Science","557"
"Mathematics","328"
"Business, Management and Accounting","131"
"Economics, Econometrics and Finance","128"
"Environmental Science","126"
"Decision Sciences","103"
"Social Sciences","58"
"Materials Science","55"
"Physics and Astronomy","40"
"Chemical Engineering","16"
"Earth and Planetary Sciences","9"
"Medicine","9"
"Multidisciplinary","7"
"Neuroscience","5"
"Agricultural and Biological Sciences","2"
"Chemistry","2"
"Psychology","2"
"Arts and Humanities","1"
"Biochemistry, Genetics and Molecular Biology","1"
